ds,y,CPI for Commodities less Food and Energy,CPI for Communication,CPI for Education,CPI for Energy,CPI for Food,CPI for Gas,CPI for Medical Services,CPI for Shelter,Employment,Export Price Index,Fed rates,Import Price Index,Unemployment,Hourly Earnings,Avg Bank Rates,Nominal GDP,USD Strength
2006-03-01,199.7,140.6,84.3,159.1,192.0,194.0,208.3,346.3,229.3,143741.0,108.8,4.59,112.7,7072.0,20.04,7.53,13711.223,100.4281
2006-04-01,200.7,140.8,84.4,159.9,198.5,193.8,224.0,347.6,230.1,143761.0,109.6,4.79,115.1,7120.0,20.16,7.75,13695.003,99.7435
2006-05-01,201.3,140.9,84.1,160.7,199.8,194.1,227.5,348.9,231.0,144089.0,110.4,4.94,117.2,6980.0,20.13,7.93,13782.849,97.5118
2006-06-01,201.8,141.0,84.2,161.6,199.8,194.7,228.1,350.2,231.9,144353.0,111.2,4.99,117.3,7001.0,20.22,8.02,13782.42,98.6927
2006-07-01,202.9,140.8,84.4,162.4,207.9,195.2,245.3,351.2,232.7,144202.0,111.6,5.24,118.2,7175.0,20.3,8.25,13791.729,98.4387
2006-08-01,203.8,140.9,84.3,163.3,211.9,195.7,252.7,352.6,233.5,144625.0,112.1,5.25,118.8,7091.0,20.32,8.25,13884.41,97.7138
2006-09-01,202.8,140.9,84.2,164.1,198.1,196.3,221.3,353.8,234.0,144815.0,111.7,5.25,116.2,6847.0,20.41,8.25,13934.425,97.9814
2006-10-01,201.9,140.7,84.0,165.0,184.1,196.9,197.0,355.0,235.0,145314.0,111.4,5.25,113.3,6727.0,20.44,8.25,13966.317,98.3156
2006-11-01,202.0,140.2,83.4,165.8,184.1,197.0,195.0,356.6,235.8,145534.0,111.8,5.25,113.8,6872.0,20.48,8.25,14059.45,97.5133
2006-12-01,203.1,140.2,83.1,166.7,192.7,197.1,211.3,357.4,236.5,145970.0,112.5,5.24,115.1,6762.0,20.57,8.25,14092.913,96.7951
2007-01-01,203.437,140.258,82.748,167.169,190.281,198.378,205.361,359.851,237.255,146028.0,113.0,5.25,113.7,7116.0,20.6,8.25,14134.826,97.8338
2007-02-01,204.226,140.299,82.818,167.969,192.31,199.736,208.351,362.402,238.107,146057.0,113.9,5.26,114.1,6927.0,20.68,8.25,14286.398,97.4764
